#Properties of FRB 20220529 bursts with RM measurements outside the ``RM flare'' phase. Each burst was detected using the FAST telescope with an S/N \geq 10. Uncertainties are 1 \sigma.
#MJDs are in barycentric dynamical time (TDB) and extrapolated to infinite frequency.
#S/N is the maximum S/N of the burst across different DM tails during the burst search, and  DM_det is the associated DM. 
#f_low and f_high are the minimum and maximum frequency extent of the bursts, determined by eye.
#DM_stru is the structure-maximizing DM obtained by DM_phase.
#f_L is the percentage of unbiased linear polarization.
##############################################################################################
#MJD,S/N,DM_det (pc cm^-3),f_low (MHz),f_high (MHz),DM_stru (pc cm^-3),RM (rad m^-2),f_L (%)
59758.9282742,27,255.4,1100,1500,253.5 ± 1.9,35 ± 14,83 ± 5
59758.9556102,12,247.5,1000,1200,246.3 ± 0.3,48 ± 26,80 ± 7
59760.9501019,19,252.1,1000,1300,251.9 ± 1.6,39 ± 16,96 ± 4
59766.0138732,136,246.8,1000,1250,247.0 ± 0.2,26 ± 3,98 ± 0
59766.0244801,10,247.2,1000,1250,246.3 ± 0.5,76 ± 45,75 ± 9
59766.9165899,27,246.0,1000,1100,246.0 ± 0.6,29 ± 43,87 ± 5
59767.8859900,12,246.0,1250,1500,245.0 ± 0.1,46 ± 27,80 ± 6
59770.0094837,56,252.1,1000,1200,248.1 ± 1.2,45 ± 8,79 ± 1
59770.0117886,10,250.8,1000,1300,250.8 ± 1.3,32 ± 27,65 ± 8
59770.0156757,12,248.4,1150,1300,246.2 ± 0.8,13 ± 91,98 ± 8
59770.0177560,10,249.0,1000,1100,247.7 ± 0.8,40 ± 25,93 ± 8
59770.0181317,10,248.4,1100,1300,248.3 ± 1.1,58 ± 58,85 ± 10
59770.0239830,14,246.2,1100,1300,246.1 ± 0.4,7 ± 11,98 ± 6
59781.8381818,14,253.0,1260,1490,255.9 ± 0.2,23 ± 42,91 ± 6
59781.8384662,21,252.0,1000,1250,242.2 ± 0.9,16 ± 7,87 ± 3
59787.8774108,19,249.1,1000,1100,253.8 ± 1.6,76 ± 57,85 ± 3
59787.8774513,14,254.5,1000,1500,252.7 ± 1.7,31 ± 12,~ 100
59787.8868384,11,257.2,1200,1450,253.5 ± 1.6,-56 ± 95,82 ± 7
59787.8890440,10,253.6,1000,1350,260.5 ± 0.8,16 ± 40,93 ± 9
59787.8960891,29,253.2,1050,1400,249.2 ± 1.0,1 ± 15,83 ± 4
59789.8055031,11,248.9,1100,1400,252.1 ± 2.3,-9 ± 46,76 ± 6
59789.8227025,14,245.9,1300,1500,241.0 ± 1.3,-49 ± 37,96 ± 6
